,Unnamed: 0,case_number,prompt,class,evaluation_seed
0,0,0,Image of cassette player,cassette player,27696
1,1,1,Image of chain saw,chain saw,55689
2,2,2,Image of church,church,6492
3,3,3,Image of gas pump,gas pump,94466
4,4,4,Image of tench,tench,6130
5,5,5,Image of garbage truck,garbage truck,58735
6,6,6,Image of english springer,english springer,38542
7,7,7,Image of golf ball,golf ball,780
8,8,8,Image of parachute,parachute,39281
9,9,9,Image of french horn,french horn,18493
0,0,0,Image of cassette player,cassette player,80265
1,1,1,Image of chain saw,chain saw,32684
2,2,2,Image of church,church,59786
3,3,3,Image of gas pump,gas pump,77785
4,4,4,Image of tench,tench,76646
5,5,5,Image of garbage truck,garbage truck,4575
6,6,6,Image of english springer,english springer,47526
7,7,7,Image of golf ball,golf ball,30003
8,8,8,Image of parachute,parachute,23384
9,9,9,Image of french horn,french horn,98839
0,0,0,Image of cassette player,cassette player,3991
1,1,1,Image of chain saw,chain saw,72866
2,2,2,Image of church,church,87568
3,3,3,Image of gas pump,gas pump,43736
4,4,4,Image of tench,tench,33024
5,5,5,Image of garbage truck,garbage truck,25467
6,6,6,Image of english springer,english springer,82188
7,7,7,Image of golf ball,golf ball,87724
8,8,8,Image of parachute,parachute,23602
9,9,9,Image of french horn,french horn,21309
0,0,0,Image of cassette player,cassette player,57415
1,1,1,Image of chain saw,chain saw,36858
2,2,2,Image of church,church,90256
3,3,3,Image of gas pump,gas pump,17626
4,4,4,Image of tench,tench,65322
5,5,5,Image of garbage truck,garbage truck,27415
6,6,6,Image of english springer,english springer,9509
7,7,7,Image of golf ball,golf ball,82302
8,8,8,Image of parachute,parachute,55223
9,9,9,Image of french horn,french horn,56589
0,0,0,Image of cassette player,cassette player,10490
1,1,1,Image of chain saw,chain saw,66765
2,2,2,Image of church,church,55957
3,3,3,Image of gas pump,gas pump,2303
4,4,4,Image of tench,tench,9378
5,5,5,Image of garbage truck,garbage truck,89341
6,6,6,Image of english springer,english springer,25681
7,7,7,Image of golf ball,golf ball,52523
8,8,8,Image of parachute,parachute,19427
9,9,9,Image of french horn,french horn,80877
0,0,0,Image of cassette player,cassette player,85749
1,1,1,Image of chain saw,chain saw,91961
2,2,2,Image of church,church,50586
3,3,3,Image of gas pump,gas pump,87521
4,4,4,Image of tench,tench,76211
5,5,5,Image of garbage truck,garbage truck,43138
6,6,6,Image of english springer,english springer,69122
7,7,7,Image of golf ball,golf ball,52206
8,8,8,Image of parachute,parachute,88588
9,9,9,Image of french horn,french horn,39013
0,0,0,Image of cassette player,cassette player,52406
1,1,1,Image of chain saw,chain saw,34659
2,2,2,Image of church,church,81346
3,3,3,Image of gas pump,gas pump,98639
4,4,4,Image of tench,tench,13
5,5,5,Image of garbage truck,garbage truck,59697
6,6,6,Image of english springer,english springer,50422
7,7,7,Image of golf ball,golf ball,98356
8,8,8,Image of parachute,parachute,24690
9,9,9,Image of french horn,french horn,5233
0,0,0,Image of cassette player,cassette player,70331
1,1,1,Image of chain saw,chain saw,97174
2,2,2,Image of church,church,46652
3,3,3,Image of gas pump,gas pump,10373
4,4,4,Image of tench,tench,52007
5,5,5,Image of garbage truck,garbage truck,30882
6,6,6,Image of english springer,english springer,77346
7,7,7,Image of golf ball,golf ball,96249
8,8,8,Image of parachute,parachute,37135
9,9,9,Image of french horn,french horn,88354
0,0,0,Image of cassette player,cassette player,13769
1,1,1,Image of chain saw,chain saw,94992
2,2,2,Image of church,church,58388
3,3,3,Image of gas pump,gas pump,74695
4,4,4,Image of tench,tench,8973
5,5,5,Image of garbage truck,garbage truck,79243
6,6,6,Image of english springer,english springer,63989
7,7,7,Image of golf ball,golf ball,59736
8,8,8,Image of parachute,parachute,98559
9,9,9,Image of french horn,french horn,78608
0,0,0,Image of cassette player,cassette player,22830
1,1,1,Image of chain saw,chain saw,48450
2,2,2,Image of church,church,93598
3,3,3,Image of gas pump,gas pump,65385
4,4,4,Image of tench,tench,86031
5,5,5,Image of garbage truck,garbage truck,51461
6,6,6,Image of english springer,english springer,93174
7,7,7,Image of golf ball,golf ball,14355
8,8,8,Image of parachute,parachute,11353
9,9,9,Image of french horn,french horn,21634
0,0,0,Image of cassette player,cassette player,99218
1,1,1,Image of chain saw,chain saw,14047
2,2,2,Image of church,church,65593
3,3,3,Image of gas pump,gas pump,49419
4,4,4,Image of tench,tench,21481
5,5,5,Image of garbage truck,garbage truck,89568
6,6,6,Image of english springer,english springer,19991
7,7,7,Image of golf ball,golf ball,45281
8,8,8,Image of parachute,parachute,13453
9,9,9,Image of french horn,french horn,92782
0,0,0,Image of cassette player,cassette player,80381
1,1,1,Image of chain saw,chain saw,77618
2,2,2,Image of church,church,42447
3,3,3,Image of gas pump,gas pump,29715
4,4,4,Image of tench,tench,6090
5,5,5,Image of garbage truck,garbage truck,9657
6,6,6,Image of english springer,english springer,30861
7,7,7,Image of golf ball,golf ball,24961
8,8,8,Image of parachute,parachute,3819
9,9,9,Image of french horn,french horn,74720
0,0,0,Image of cassette player,cassette player,16765
1,1,1,Image of chain saw,chain saw,75931
2,2,2,Image of church,church,44560
3,3,3,Image of gas pump,gas pump,99796
4,4,4,Image of tench,tench,86136
5,5,5,Image of garbage truck,garbage truck,73016
6,6,6,Image of english springer,english springer,35471
7,7,7,Image of golf ball,golf ball,67432
8,8,8,Image of parachute,parachute,92683
9,9,9,Image of french horn,french horn,86527
0,0,0,Image of cassette player,cassette player,46511
1,1,1,Image of chain saw,chain saw,66752
2,2,2,Image of church,church,95748
3,3,3,Image of gas pump,gas pump,61102
4,4,4,Image of tench,tench,95387
5,5,5,Image of garbage truck,garbage truck,99004
6,6,6,Image of english springer,english springer,91726
7,7,7,Image of golf ball,golf ball,27880
8,8,8,Image of parachute,parachute,74416
9,9,9,Image of french horn,french horn,44123
0,0,0,Image of cassette player,cassette player,97696
1,1,1,Image of chain saw,chain saw,48947
2,2,2,Image of church,church,62184
3,3,3,Image of gas pump,gas pump,81397
4,4,4,Image of tench,tench,3073
5,5,5,Image of garbage truck,garbage truck,44733
6,6,6,Image of english springer,english springer,64153
7,7,7,Image of golf ball,golf ball,19335
8,8,8,Image of parachute,parachute,99047
9,9,9,Image of french horn,french horn,16759
0,0,0,Image of cassette player,cassette player,65157
1,1,1,Image of chain saw,chain saw,53123
2,2,2,Image of church,church,62897
3,3,3,Image of gas pump,gas pump,18515
4,4,4,Image of tench,tench,56888
5,5,5,Image of garbage truck,garbage truck,24002
6,6,6,Image of english springer,english springer,98626
