,Unnamed: 0,case_number,prompt,class,evaluation_seed
0,0,0,Image of cassette player,cassette player,4081
1,1,1,Image of chain saw,chain saw,5140
2,2,2,Image of church,church,9000
3,3,3,Image of gas pump,gas pump,9969
4,4,4,Image of tench,tench,5892
5,5,5,Image of garbage truck,garbage truck,3721
6,6,6,Image of english springer,english springer,4865
7,7,7,Image of golf ball,golf ball,5753
8,8,8,Image of parachute,parachute,4522
9,9,9,Image of french horn,french horn,2494
0,0,0,Image of cassette player,cassette player,3555
1,1,1,Image of chain saw,chain saw,6726
2,2,2,Image of church,church,8819
3,3,3,Image of gas pump,gas pump,5864
4,4,4,Image of tench,tench,218
5,5,5,Image of garbage truck,garbage truck,8947
6,6,6,Image of english springer,english springer,2276
7,7,7,Image of golf ball,golf ball,3335
8,8,8,Image of parachute,parachute,738
9,9,9,Image of french horn,french horn,9783
0,0,0,Image of cassette player,cassette player,6142
1,1,1,Image of chain saw,chain saw,6304
2,2,2,Image of church,church,8685
3,3,3,Image of gas pump,gas pump,8384
4,4,4,Image of tench,tench,6335
5,5,5,Image of garbage truck,garbage truck,2761
6,6,6,Image of english springer,english springer,863
7,7,7,Image of golf ball,golf ball,2925
8,8,8,Image of parachute,parachute,5839
9,9,9,Image of french horn,french horn,718
0,0,0,Image of cassette player,cassette player,9420
1,1,1,Image of chain saw,chain saw,3295
2,2,2,Image of church,church,256
3,3,3,Image of gas pump,gas pump,7444
4,4,4,Image of tench,tench,352
5,5,5,Image of garbage truck,garbage truck,2171
6,6,6,Image of english springer,english springer,6093
7,7,7,Image of golf ball,golf ball,7016
8,8,8,Image of parachute,parachute,2336
9,9,9,Image of french horn,french horn,2564
0,0,0,Image of cassette player,cassette player,8678
1,1,1,Image of chain saw,chain saw,6732
2,2,2,Image of church,church,5033
3,3,3,Image of gas pump,gas pump,8475
4,4,4,Image of tench,tench,8625
5,5,5,Image of garbage truck,garbage truck,9607
6,6,6,Image of english springer,english springer,4038
7,7,7,Image of golf ball,golf ball,9616
8,8,8,Image of parachute,parachute,9067
9,9,9,Image of french horn,french horn,5347
0,0,0,Image of cassette player,cassette player,1518
1,1,1,Image of chain saw,chain saw,1637
2,2,2,Image of church,church,7333
3,3,3,Image of gas pump,gas pump,324
4,4,4,Image of tench,tench,6927
5,5,5,Image of garbage truck,garbage truck,684
6,6,6,Image of english springer,english springer,2251
7,7,7,Image of golf ball,golf ball,3932
8,8,8,Image of parachute,parachute,3044
9,9,9,Image of french horn,french horn,4793
0,0,0,Image of cassette player,cassette player,6264
1,1,1,Image of chain saw,chain saw,9288
2,2,2,Image of church,church,595
3,3,3,Image of gas pump,gas pump,627
4,4,4,Image of tench,tench,9586
5,5,5,Image of garbage truck,garbage truck,414
6,6,6,Image of english springer,english springer,9301
7,7,7,Image of golf ball,golf ball,8779
8,8,8,Image of parachute,parachute,6326
9,9,9,Image of french horn,french horn,2186
0,0,0,Image of cassette player,cassette player,2389
1,1,1,Image of chain saw,chain saw,2212
2,2,2,Image of church,church,9163
3,3,3,Image of gas pump,gas pump,4997
4,4,4,Image of tench,tench,1457
5,5,5,Image of garbage truck,garbage truck,6901
6,6,6,Image of english springer,english springer,9950
7,7,7,Image of golf ball,golf ball,1904
8,8,8,Image of parachute,parachute,2167
9,9,9,Image of french horn,french horn,7277
0,0,0,Image of cassette player,cassette player,1379
1,1,1,Image of chain saw,chain saw,6451
2,2,2,Image of church,church,6466
3,3,3,Image of gas pump,gas pump,1606
4,4,4,Image of tench,tench,747
5,5,5,Image of garbage truck,garbage truck,3989
6,6,6,Image of english springer,english springer,2023
7,7,7,Image of golf ball,golf ball,2068
8,8,8,Image of parachute,parachute,6919
9,9,9,Image of french horn,french horn,9034
0,0,0,Image of cassette player,cassette player,999
1,1,1,Image of chain saw,chain saw,5574
2,2,2,Image of church,church,7513
3,3,3,Image of gas pump,gas pump,28
4,4,4,Image of tench,tench,2651
5,5,5,Image of garbage truck,garbage truck,6542
6,6,6,Image of english springer,english springer,1450
7,7,7,Image of golf ball,golf ball,9286
8,8,8,Image of parachute,parachute,9647
9,9,9,Image of french horn,french horn,325
0,0,0,Image of cassette player,cassette player,2477
1,1,1,Image of chain saw,chain saw,6135
2,2,2,Image of church,church,7083
3,3,3,Image of gas pump,gas pump,6905
4,4,4,Image of tench,tench,5587
5,5,5,Image of garbage truck,garbage truck,1366
6,6,6,Image of english springer,english springer,8082
7,7,7,Image of golf ball,golf ball,6353
8,8,8,Image of parachute,parachute,3971
9,9,9,Image of french horn,french horn,1796
0,0,0,Image of cassette player,cassette player,4954
1,1,1,Image of chain saw,chain saw,3099
2,2,2,Image of church,church,562
3,3,3,Image of gas pump,gas pump,916
4,4,4,Image of tench,tench,6854
5,5,5,Image of garbage truck,garbage truck,7057
6,6,6,Image of english springer,english springer,9676
7,7,7,Image of golf ball,golf ball,7321
8,8,8,Image of parachute,parachute,9882
9,9,9,Image of french horn,french horn,8310
0,0,0,Image of cassette player,cassette player,1709
1,1,1,Image of chain saw,chain saw,6857
2,2,2,Image of church,church,9055
3,3,3,Image of gas pump,gas pump,9962
4,4,4,Image of tench,tench,8499
5,5,5,Image of garbage truck,garbage truck,9824
6,6,6,Image of english springer,english springer,2781
7,7,7,Image of golf ball,golf ball,3138
